p4_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,C,76.0,217.0,7.83,78.0,2.0,South,98.5,R,R
1,C,72.0,190.0,7.02,80.0,1.9,Midwest,106.2,R,R
1,C,74.0,225.3,7.52,77.0,1.9,South,100.0,R,R
0,C,71.0,175.0,7.67,77.0,2.0,West,89.0,R,S
0,C,71.0,185.0,7.0,81.0,1.9,Northeast,95.6,R,R
0,C,71.0,175.9,6.7,77.0,1.9,Midwest,91.4,R,R
0,C,71.0,190.0,7.05,73.0,2.0,South,98.5,R,L
0,C,73.0,205.0,7.19,74.0,2.1,South,100.1,R,R
0,C,70.0,195.0,7.58,73.0,2.1,South,92.0,R,R
0,C,72.0,202.0,7.48,80.0,2.0,Northeast,96.9,R,R
1,C,72.0,205.0,7.05,82.0,2.0,Northeast,100.9,R,R
0,C,72.0,175.0,7.06,77.0,2.0,South,96.4,R,L
0,C,73.0,190.0,7.29,78.0,2.0,West,95.3,R,R
1,C,70.0,185.0,6.75,83.0,1.9,Northeast,95.1,R,R
0,C,69.0,187.0,7.54,76.0,2.0,South,94.8,R,R
0,C,73.0,185.0,6.72,79.0,2.0,South,98.3,R,R
0,C,74.0,180.0,7.32,70.0,2.1,Northeast,85.0,R,R
0,C,73.0,205.0,7.48,80.0,2.0,Midwest,97.9,R,R
0,C,71.0,184.0,7.02,79.0,1.9,South,94.6,R,R
0,C,69.0,194.2,7.46,77.0,1.9,West,98.0,R,R
1,C,72.0,215.0,7.44,76.0,2.2,West,96.9,R,R
0,C,74.0,210.0,7.03,84.0,1.9,Midwest,102.9,R,R
0,C,75.0,205.0,7.18,82.0,1.9,Northeast,90.1,R,R
0,C,72.0,192.0,7.1,81.0,1.9,Northeast,98.6,R,R
1,C,72.0,180.0,7.24,80.0,2.0,South,92.0,R,R
0,C,72.0,195.0,7.27,72.0,2.1,Northeast,92.5,R,R
0,C,71.0,175.0,7.2,73.0,2.1,West,90.1,R,R
0,C,68.0,170.0,7.21,79.0,1.9,South,89.7,R,R
1,C,68.0,180.0,7.6,71.0,2.2,Northeast,88.6,R,L
0,C,73.0,172.0,7.52,73.0,2.1,West,96.5,R,R
0,C,74.0,220.0,7.06,78.0,2.0,West,102.5,R,R
0,C,74.0,180.0,7.594643115997315,66.0,2.2,Northeast,79.9,R,R
1,C,72.0,180.0,8.02,71.0,2.1,West,87.6,R,L
0,C,73.0,190.0,7.31,77.0,2.1,Northeast,93.3,R,R
1,C,69.0,165.0,7.43,76.0,2.0,Midwest,85.8,R,R
0,C,71.0,170.0,7.15,79.0,1.9,West,93.7,R,R
1,C,75.0,210.0,6.69,85.0,1.8,Midwest,109.8,R,R
0,C,70.0,160.0,6.9,79.0,1.8,South,94.4,R,R
1,C,75.0,225.0,6.77,81.0,2.0,Northeast,98.0,R,R
0,C,74.0,195.0,7.2,76.0,2.0,South,93.6,R,S
0,C,75.0,215.0,7.38,79.0,1.9,South,95.9,R,R
1,C,67.0,165.0,7.22,77.0,1.9,Midwest,91.0,R,R
0,C,74.0,195.0,7.35,79.0,2.0,South,93.8,R,R
1,C,74.0,215.0,7.17,80.0,2.0,Midwest,98.2,R,L
1,C,72.0,172.2,7.27,75.0,2.1,Midwest,88.9,R,L
0,C,74.0,215.0,7.51,77.0,2.0,West,100.1,R,R
0,C,73.0,161.8,7.01,78.0,2.0,South,92.9,R,L
0,C,73.0,205.0,7.45,77.0,1.9,South,97.2,R,R
1,C,72.0,175.0,7.14,77.0,1.9,Midwest,86.3,R,R
0,C,71.0,170.0,7.42,73.0,2.1,South,85.8,R,L
0,C,71.0,210.0,7.38,73.0,2.0,West,95.2,R,R
1,C,70.0,200.0,7.85,77.0,2.0,Northeast,93.6,R,L
1,C,72.0,185.0,7.12,82.0,2.0,West,90.8,R,S
0,C,72.0,180.0,7.38,75.0,2.0,South,91.2,R,R
1,C,70.0,190.0,7.0,74.0,1.9,Midwest,93.0,R,R
0,C,72.0,185.0,7.15,81.0,1.9,Northeast,94.3,R,R
0,C,71.0,196.4,7.19,80.0,1.9,West,91.5,R,R
0,C,73.0,200.0,7.18,81.0,1.9,Midwest,93.1,R,R
1,C,71.0,195.0,7.88,75.0,2.0,Northeast,91.5,R,R
0,C,71.0,210.0,7.37,74.0,2.0,South,91.0,R,R
0,C,71.0,190.0,7.07,81.0,1.9,West,93.3,R,R
0,C,70.0,190.0,7.03,77.0,2.0,South,95.6,R,R
0,C,73.0,215.0,7.57,76.0,2.0,South,93.0,R,R
0,C,69.0,155.0,7.05,75.0,2.1,West,85.1,R,R
1,C,71.0,195.0,7.48,75.0,1.9,South,86.0,R,R
0,C,72.0,190.0,7.55,69.0,2.0,Northeast,91.5,R,R
0,C,71.0,190.0,7.54,84.0,1.9,Midwest,98.1,R,R
1,C,74.0,205.0,7.13,79.0,2.0,Midwest,104.7,R,L
0,C,70.0,165.0,7.75,75.0,2.0,Northeast,86.0,R,R
0,C,74.0,188.5,7.0,83.0,1.9,West,104.2,R,R
0,C,74.0,200.0,6.87,75.0,1.8,West,95.1,R,R
0,C,71.0,192.0,7.52,74.0,2.1,South,90.9,R,R
0,C,71.0,197.0,7.23,72.0,2.2,West,94.0,R,R
0,C,73.0,195.0,6.75,83.0,2.0,West,94.8,R,R
1,C,73.0,225.0,6.56,82.0,1.9,South,102.5,R,R
0,C,71.0,175.0,7.28,73.0,2.0,West,86.5,R,R
1,C,75.0,202.4,7.100480079650879,78.0,1.9,West,97.7,R,S
0,C,69.0,170.0,7.54,76.0,2.0,Northeast,92.3,R,R
0,C,71.0,190.0,6.87,84.0,2.0,South,93.1,R,R
0,C,73.0,195.0,7.296851634979248,77.0,2.0,West,88.19202423095703,R,R
0,C,71.0,185.0,7.41,83.0,1.9,South,97.1,R,R
0,C,71.0,180.0,7.14,76.0,2.1,Northeast,88.4,R,L
0,C,67.0,170.0,7.43,73.0,2.1,South,86.0,R,S
0,C,74.0,213.4,7.4,73.0,2.3,West,94.6,R,R
1,C,75.0,200.0,7.21,82.0,2.0,West,102.2,R,R
0,C,77.0,215.0,7.93,80.0,2.1,South,93.8,R,R
1,C,70.0,195.0,6.78,83.0,1.9,South,94.0,R,R
0,C,74.0,210.0,7.47,80.0,2.0,Northeast,94.3,L,R
0,C,72.0,170.0,7.35,77.0,1.9,Midwest,88.0,R,R
1,C,70.0,190.0,7.05,74.0,2.0,West,96.6,R,R
1,C,71.0,160.0,7.15,73.0,2.1,West,90.0,R,S
0,C,74.0,230.2,7.35,72.0,2.1,Midwest,94.2,R,R
1,C,73.0,195.0,7.090177536010742,79.0,2.0,South,101.5,R,R
0,C,73.0,190.0,7.42,74.0,2.0,West,96.5,R,L
0,C,74.0,208.0,6.96,81.0,2.0,Midwest,97.3,R,R
1,C,76.0,201.3,6.83,84.0,2.0,Northeast,100.1,R,L
1,C,78.0,225.0,6.86,85.0,2.0,South,100.8,R,R
0,C,73.0,180.0,7.0,79.0,2.0,South,93.1,R,L
0,C,71.0,165.0,7.2,77.0,2.0,Midwest,92.2,R,R
0,C,73.0,185.0,7.1,79.0,1.9,Northeast,98.6,R,R
0,C,71.0,195.0,6.94,78.0,2.0,West,100.3,R,R
